sub,filename_o,Inducement Code,Onset,Apex,Offset,Duration,Micro,Action Units,imagename,Label,Objective Classes,catego,label
6,006_1_2,1,5562,5588,5632,71,Micro - 1/2,4+7,006_006_1_2.jpg,Anger,3,samm,0
6,006_1_3,1,3912,3948,3988,77,Micro - 1/2,4,006_006_1_3.jpg,Anger,3,samm,0
6,006_1_4,1,2324,2368,2403,80,Micro - 1/2,4+7,006_006_1_4.jpg,Anger,3,samm,0
6,006_1_5,1,5343,5388,5424,82,Micro - 1/2,4+7,006_006_1_5.jpg,Anger,3,samm,0
6,006_1_6,1,7160,7197,7259,100,Micro - 1/2,4+7+43,006_006_1_6.jpg,Anger,7,samm,0
6,006_2_4,2,180,217,274,95,Micro - 1/2,4+7,006_006_2_4.jpg,Anger,3,samm,0
6,006_3_5,3,1787,1829,1856,70,Micro - 1/2,25+26,006_006_3_5.jpg,Surprise,2,samm,4
6,006_5_11,5,2130,2190,2226,97,Micro - 1/2,4,006_006_5_11.jpg,Anger,3,samm,0
6,006_5_9,5,5258,5282,5351,94,Micro - 1/2,5,006_006_5_9.jpg,Surprise,2,samm,4
7,007_4_2,4,5900,5943,5999,100,Micro - 1/2,24,007_007_4_2.jpg,Other,7,samm,3
7,007_5_3,5,2759,2797,2835,77,Micro - 1/2,26,007_007_5_3.jpg,Surprise,7,samm,4
7,007_5_4,5,5433,5475,5532,100,Micro - 1/2,R2,007_007_5_4.jpg,Other,7,samm,3
7,007_6_1,6,497,511,541,45,Micro - 1/2,(R6 or R12)+R15,007_007_6_1.jpg,Happiness,7,samm,1
7,007_6_2,6,1296,1326,1377,82,Micro - 1/2,12,007_007_6_2.jpg,Happiness,1,samm,1
7,007_6_3,6,2560,2592,2617,58,Micro - 1/2,R6A+R12,007_007_6_3.jpg,Happiness,1,samm,1
7,007_6_5,6,649,673,723,75,Micro - 1/2,(R6 or R12) + R15,007_007_6_5.jpg,Happiness,7,samm,1
7,007_7_1,7,7030,7056,7070,41,Micro - 1/2,5B+24,007_007_7_1.jpg,Surprise,2,samm,4
7,007_7_5,7,554,585,637,84,Micro - 1/2,12A,007_007_7_5.jpg,Happiness,1,samm,1
9,009_3_2,3,1856,1891,1932,77,Micro - 1/2,7B,009_009_3_2.jpg,Anger,7,samm,0
9,009_3_3,3,1968,2010,2045,78,Micro - 1/2,7B,009_009_3_3.jpg,Anger,7,samm,0
9,009_3_4,3,3334,3370,3419,86,Micro - 1/2,5A,009_009_3_4.jpg,Surprise,2,samm,4
10,010_2_1,2,192,206,228,37,Micro - 1/2,ref(7B)+43,010_010_2_1.jpg,Anger,7,samm,0
10,010_2_8,2,1211,1239,1288,78,Micro - 1/2,7D,010_010_2_8.jpg,Anger,7,samm,0
10,010_4_1,4,3528,3548,3557,30,Micro - 1/2,ref(7B)+43C,010_010_4_1.jpg,Anger,7,samm,0
10,010_4_2,4,6708,6730,6738,31,Micro - 1/2,7B+ ref(43),010_010_4_2.jpg,Anger,7,samm,0
11,011_1_4,1,3080,3131,3168,89,Micro - 1/2,7C,011_011_1_4.jpg,Anger,7,samm,0
11,011_2_7,2,3361,3402,3449,89,Micro - 1/2,7+12,011_011_2_7.jpg,Happiness,1,samm,1
11,011_3_1,3,2363,2395,2411,49,Micro - 1/2,L7A,011_011_3_1.jpg,Anger,7,samm,0
11,011_3_4,3,2841,2891,2920,80,Micro - 1/2,L12 + 61,011_011_3_4.jpg,Happiness,1,samm,1
11,011_3_5,3,2944,3007,3031,88,Micro - 1/2,A12+A7,011_011_3_5.jpg,Happiness,1,samm,1
11,011_3_6,3,3208,3253,3308,101,Micro - 1/2,A12,011_011_3_6.jpg,Happiness,1,samm,1
11,011_4_1,4,6750,6771,6803,54,Micro - 1/2,A7,011_011_4_1.jpg,Anger,7,samm,0
